language,model,mode,layer,n,clean,intervened,ctrl_random_position,ctrl_random_direction,ctrl_same_role,specificity,cases_scored,cases_available,git_commit
java,qwen2515b,patch,4,155,1.1378,-9.9547,-0.3735,,,7.34,155,155,77f41ede7c6b
java,qwen2515b,patch,8,155,1.1378,-10.4691,-0.7666,,,6.095,155,155,77f41ede7c6b
java,qwen2515b,patch,12,155,1.1378,-10.2797,-0.3373,,,7.74,155,155,77f41ede7c6b
java,qwen2515b,patch,16,155,1.1378,-9.8371,-0.3429,,,7.412,155,155,77f41ede7c6b
java,qwen2515b,patch,20,155,1.1378,-8.7423,-0.2215,,,7.268,155,155,77f41ede7c6b
java,qwen2515b,patch,24,155,1.1378,-4.983,-0.3372,,,4.15,155,155,77f41ede7c6b
java,qwen2515b,patch,28,155,1.1378,1.1378,0.9746,,,0.0,155,155,77f41ede7c6b
java,qwen2515b,steer,0,78,0.5911,0.1673,0.5778,0.5911,,31.816,78,155,77f41ede7c6b
java,qwen2515b,steer,4,78,0.5911,-0.1636,0.582,0.6385,,83.254,78,155,77f41ede7c6b
java,qwen2515b,steer,8,78,0.5911,-0.2579,0.5901,0.5915,,826.927,78,155,77f41ede7c6b
java,qwen2515b,steer,12,78,0.5911,-0.2889,0.5765,0.5232,,60.381,78,155,77f41ede7c6b
java,qwen2515b,steer,16,78,0.5911,-0.5134,0.5082,0.4934,,13.33,78,155,77f41ede7c6b
java,qwen2515b,steer,20,78,0.5911,-1.0169,0.4406,0.5419,,10.685,78,155,77f41ede7c6b
java,qwen2515b,steer,24,78,0.5911,-1.8951,0.5566,0.5466,,72.158,78,155,77f41ede7c6b
java,qwen2515b,steer,28,78,0.5911,0.5911,0.3147,0.5911,,0.0,78,155,77f41ede7c6b
java,qwen25coder15b,ablate,0,155,2.6064,-5.6418,2.0279,,,14.256,155,155,77f41ede7c6b
java,qwen25coder15b,ablate,4,155,2.6064,-6.7241,1.8475,,,12.295,155,155,77f41ede7c6b
java,qwen25coder15b,ablate,8,155,2.6064,-6.4131,2.0129,,,15.197,155,155,77f41ede7c6b
java,qwen25coder15b,ablate,12,155,2.6064,-6.4962,2.4606,,,62.427,155,155,77f41ede7c6b
java,qwen25coder15b,ablate,16,155,2.6064,-6.6209,2.3642,,,38.098,155,155,77f41ede7c6b
java,qwen25coder15b,ablate,20,155,2.6064,-6.7034,2.3541,,,36.893,155,155,77f41ede7c6b
java,qwen25coder15b,ablate,24,155,2.6064,-3.4831,2.4387,,,36.311,155,155,77f41ede7c6b
java,qwen25coder15b,ablate,28,155,2.6064,2.6064,2.4717,,,0.0,155,155,77f41ede7c6b
java,qwen25coder15b,patch,0,155,2.6064,-9.0992,0.0925,,,4.656,155,155,77f41ede7c6b
java,qwen25coder15b,patch,4,155,2.6064,-9.5306,0.9233,,,7.211,155,155,77f41ede7c6b
java,qwen25coder15b,patch,8,155,2.6064,-10.0355,0.4695,,,5.916,155,155,77f41ede7c6b
java,qwen25coder15b,patch,12,155,2.6064,-9.9012,0.9913,,,7.744,155,155,77f41ede7c6b
java,qwen25coder15b,patch,16,155,2.6064,-9.4066,1.0209,,,7.577,155,155,77f41ede7c6b
java,qwen25coder15b,patch,20,155,2.6064,-8.535,1.0988,,,7.39,155,155,77f41ede7c6b
java,qwen25coder15b,patch,24,155,2.6064,-4.6637,1.1085,,,4.853,155,155,77f41ede7c6b
java,qwen25coder15b,patch,28,155,2.6064,2.6064,2.4134,,,0.0,155,155,77f41ede7c6b
java,qwen25coder15b,steer,0,78,2.1113,1.85,2.1127,2.0964,,179.931,78,155,77f41ede7c6b
java,qwen25coder15b,steer,4,78,2.1113,1.515,2.1013,2.0727,,59.535,78,155,77f41ede7c6b
java,qwen25coder15b,steer,8,78,2.1113,1.4135,2.1237,2.1247,,56.181,78,155,77f41ede7c6b
java,qwen25coder15b,steer,12,78,2.1113,1.3311,2.0642,2.0605,,16.556,78,155,77f41ede7c6b
java,qwen25coder15b,steer,16,78,2.1113,1.2033,2.0764,2.1125,,26.05,78,155,77f41ede7c6b
java,qwen25coder15b,steer,20,78,2.1113,1.1446,2.0012,1.9574,,8.782,78,155,77f41ede7c6b
java,qwen25coder15b,steer,24,78,2.1113,0.3992,2.0875,2.073,,71.971,78,155,77f41ede7c6b
java,qwen25coder15b,steer,28,78,2.1113,2.1113,1.8476,2.1113,,0.0,78,155,77f41ede7c6b
java,starcoder27b,ablate,0,155,10.5573,-0.4331,8.9664,,,6.908,155,155,77f41ede7c6b
java,starcoder27b,ablate,4,155,10.5573,-0.6324,10.1428,,,26.994,155,155,77f41ede7c6b
java,starcoder27b,ablate,8,155,10.5573,0.015,9.809,,,14.088,155,155,77f41ede7c6b
java,starcoder27b,ablate,12,155,10.5573,0.2082,9.8671,,,14.995,155,155,77f41ede7c6b
java,starcoder27b,ablate,16,155,10.5573,0.0611,9.8851,,,15.615,155,155,77f41ede7c6b
java,starcoder27b,ablate,20,155,10.5573,5.0204,9.7796,,,7.119,155,155,77f41ede7c6b
java,starcoder27b,ablate,24,155,10.5573,8.4332,10.0631,,,4.298,155,155,77f41ede7c6b
java,starcoder27b,ablate,28,155,10.5573,9.8901,10.0324,,,1.271,155,155,77f41ede7c6b
java,starcoder27b,ablate,32,155,10.5573,10.5573,10.0862,,,0.0,155,155,77f41ede7c6b
java,starcoder27b,patch,0,155,10.5573,-1.6939,7.307,,,3.769,155,155,77f41ede7c6b
java,starcoder27b,patch,4,155,10.5573,-3.3426,8.7081,,,7.517,155,155,77f41ede7c6b
java,starcoder27b,patch,8,155,10.5573,-3.0941,8.8752,,,8.116,155,155,77f41ede7c6b
java,starcoder27b,patch,12,155,10.5573,-2.6701,9.0169,,,8.587,155,155,77f41ede7c6b
java,starcoder27b,patch,16,155,10.5573,-1.9585,8.9617,,,7.844,155,155,77f41ede7c6b
java,starcoder27b,patch,20,155,10.5573,2.4764,9.1154,,,5.604,155,155,77f41ede7c6b
java,starcoder27b,patch,24,155,10.5573,7.7942,9.4317,,,2.455,155,155,77f41ede7c6b
java,starcoder27b,patch,28,155,10.5573,9.4865,9.9405,,,1.736,155,155,77f41ede7c6b
java,starcoder27b,patch,32,155,10.5573,10.5573,10.4479,,,0.0,155,155,77f41ede7c6b
java,starcoder27b,steer,0,78,10.6376,10.5099,10.6251,10.6321,,10.188,78,155,77f41ede7c6b
java,starcoder27b,steer,4,78,10.6376,10.403,10.5789,10.6269,,3.995,78,155,77f41ede7c6b
java,starcoder27b,steer,8,78,10.6376,10.3269,10.6218,10.5885,,19.641,78,155,77f41ede7c6b
java,starcoder27b,steer,12,78,10.6376,10.3016,10.6031,10.5858,,9.725,78,155,77f41ede7c6b
java,starcoder27b,steer,16,78,10.6376,10.1351,10.592,10.5884,,11.017,78,155,77f41ede7c6b
java,starcoder27b,steer,20,78,10.6376,10.0883,10.6033,10.6156,,16.004,78,155,77f41ede7c6b
java,starcoder27b,steer,24,78,10.6376,10.0831,10.6354,10.6077,,244.019,78,155,77f41ede7c6b
java,starcoder27b,steer,28,78,10.6376,10.403,10.6195,10.5998,,12.93,78,155,77f41ede7c6b
java,starcoder27b,steer,32,78,10.6376,10.6376,10.5355,10.6376,,0.0,78,155,77f41ede7c6b
javascript,qwen2515b,ablate,0,58,7.9621,-1.7659,6.3423,,,6.006,58,131,08e9d2335346
javascript,qwen2515b,ablate,4,58,7.9621,-2.3902,6.6283,,,7.761,58,131,08e9d2335346
javascript,qwen2515b,ablate,8,58,7.9621,-2.8816,7.0319,,,11.658,58,131,08e9d2335346
javascript,qwen2515b,ablate,12,58,7.9621,-2.6642,7.3482,,,17.307,58,131,08e9d2335346
javascript,qwen2515b,ablate,16,58,7.9621,-2.8899,7.5551,,,26.662,58,131,08e9d2335346
javascript,qwen2515b,ablate,20,58,7.9621,-2.6369,7.4077,,,19.115,58,131,08e9d2335346
javascript,qwen2515b,ablate,24,58,7.9621,1.5254,7.2745,,,9.36,58,131,08e9d2335346
javascript,qwen2515b,ablate,28,58,7.9621,7.9621,7.8281,,,0.0,58,131,08e9d2335346
javascript,qwen2515b,patch,0,58,7.9621,-3.757,5.4835,,,4.728,58,131,08e9d2335346
javascript,qwen2515b,patch,4,58,7.9621,-4.1692,6.1806,,,6.81,58,131,08e9d2335346
javascript,qwen2515b,patch,8,58,7.9621,-4.7924,6.1033,,,6.862,58,131,08e9d2335346
javascript,qwen2515b,patch,12,58,7.9621,-4.7649,5.9685,,,6.384,58,131,08e9d2335346
javascript,qwen2515b,patch,16,58,7.9621,-3.9873,5.9216,,,5.856,58,131,08e9d2335346
